help,rating_R,cast,man,man,little,family,father,country,young,rating_TV-G,rating_NR,love,love,woman,rating_NC-17,american,duration,life,life,rating_TV-MA,teen,rating_PG,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,movie,type,director,rating_TV-PG,christmas,friends,rating_TV-Y7,rating_PG-13
0,0.0,3355,0,0,0,0,0,6044,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0.0,0,0.0,0,1.0,0,0,2019.0,0.0,0,0,1,5344,0.0,0,0,0.0,0.0
0,0.0,5639,0,0,0,0,0,4096,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0.0,0,0.0,1,0.0,0,0,2009.0,0.0,0,0,1,3953,0.0,0,0,1.0,0.0
1,0.0,8461,0,0,0,0,0,7694,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0.0,0,0.0,0,0.0,0,0,2016.0,0.0,1,0,1,1730,0.0,0,0,1.0,0.0
0,0.0,6188,0,0,0,0,0,6044,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0.0,0,0.0,0,1.0,0,0,2016.0,0.0,0,0,1,4187,0.0,0,0,0.0,0.0
0,0.0,9788,0,0,0,0,0,7694,0,0.0,0.0,0,0,0,0.0,0,7,0,0,0.0,0,0.0,0,0.0,0,0,2015.0,0.0,0,0,1,7964,1.0,0,0,0.0,0.0
0,0.0,4091,0,0,0,0,0,9337,0,0.0,0.0,0,0,0,0.0,0,4,0,0,0.0,0,0.0,0,1.0,0,1,2015.0,0.0,0,0,1,1521,0.0,0,0,0.0,0.0
0,0.0,2043,0,0,0,0,0,3325,0,0.0,0.0,0,0,0,0.0,0,3,0,0,0.0,0,0.0,0,1.0,0,0,2020.0,0.0,0,0,1,3259,0.0,0,0,0.0,0.0
0,0.0,1257,0,0,1,0,0,1325,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0.0,0,0.0,1,0.0,0,0,2020.0,0.0,0,0,1,1040,0.0,0,0,1.0,0.0
0,0.0,7057,0,0,0,0,0,9337,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0.0,0,0.0,0,0.0,0,0,2020.0,0.0,0,0,1,4542,0.0,0,0,1.0,0.0
0,0.0,4175,0,0,0,0,0,7969,0,0.0,0.0,0,0,0,0.0,0,1,0,0,0.0,0,0.0,0,0.0,0,0,2013.0,0.0,0,0,1,3038,1.0,0,0,0.0,0.0
0,0.0,9066,0,0,0,0,0,9337,0,0.0,0.0,0,0,0,0.0,0,5,0,0,0.0,0,0.0,0,0.0,0,0,2020.0,0.0,0,0,1,2171,0.0,0,0,1.0,0.0
0,0.0,8931,1,0,0,0,0,4096,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0.0,0,0.0,0,0.0,0,1,2014.0,0.0,0,0,1,8521,0.0,0,0,1.0,0.0
0,0.0,7896,0,0,0,0,0,3543,0,0.0,0.0,0,0,0,0.0,0,2,0,0,0.0,0,0.0,0,0.0,0,1,2015.0,0.0,0,0,1,1379,0.0,0,0,1.0,0.0
