girls,help,rating_R,cast,little,man,man,high,high,country,young,rating_TV-G,love,love,woman,american,rating_G,king,duration,life,life,rating_TV-Y7-FV,rating_TV-MA,teen,rating_PG,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,movie,type,group,director,rating_TV-PG,christmas,girl,girl,rating_TV-Y7,rating_PG-13
0,0,0.0,2298,0,0,0,0,0,8016,0,0.0,0,0,0,0,0.6727046727238217,0,88,0,0,0.0,0.0,0,0.32729532727617827,0,0.0,0,0,1995.8732018727997,0.0,0,0,0,0,7218,0.0,0,0,0,0.0,0.0
0,0,0.0,1092,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,113,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2020.7959821067307,0.0,0,0,0,0,5212,0.0,0,0,0,0.0,0.0
0,0,0.0,7798,0,0,0,0,0,3543,0,0.0,0,0,0,0,0.0,0,92,0,0,0.0,0.0,0,0.5039412754550923,0,0.49605872454490774,0,0,2012.0078825509102,0.0,0,0,0,0,3734,0.0,0,0,0,0.0,0.0
0,0,0.0,2719,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,88,0,0,0.0,0.0,0,0.0,0,0.24680164561963414,0,0,2018.2595950631412,0.0,0,0,0,0,3217,0.0,0,0,0,0.7531983543803659,0.0
0,0,0.0,6286,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,70,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2016.244100186036,0.0,0,0,0,0,9489,0.0,0,0,0,1.0,0.0
0,0,0.0,9462,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,103,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2012.996608083172,0.0,0,0,0,0,8527,0.0,0,0,0,0.0,0.0
0,0,0.0,5204,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,111,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2006.452471953439,0.0,0,0,0,0,7728,0.0,0,0,0,0.0,0.0
0,0,0.0,7921,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,94,0,0,0.0,0.0,0,0.41083641247268554,0,0.5891635875273145,0,0,2017.0541820623635,0.0,0,0,0,0,5373,0.0,0,0,0,0.0,0.0
0,0,0.0,2381,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,93,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2005.5692884139828,0.0,0,0,0,0,5889,0.0,0,0,0,0.0,0.0
0,0,0.0,3966,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,64,0,0,0.0,0.0,0,0.0,0,0.3803564160288322,0,0,2017.1410692480865,0.0,0,0,0,0,4511,0.6196435839711678,0,0,0,0.0,0.0
0,0,0.0,2884,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,104,0,0,0.0,0.0,0,0.9183487451581935,0,0.08165125484180646,0,0,2014.8366974903163,0.0,0,0,0,0,9557,0.0,0,0,0,0.0,0.0
0,0,0.0,4277,0,0,0,0,0,3543,0,0.0,0,0,0,0,0.0,0,86,0,0,0.0,0.0,0,1.0,0,0.0,0,1,2007.0,0.0,0,0,0,0,8426,0.0,0,0,0,0.0,0.0
0,0,0.0,3699,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,98,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2016.2443123548817,0.0,0,0,0,0,1515,1.0,0,0,0,0.0,0.0
0,0,0.0,2324,0,0,0,0,0,9186,0,0.0,0,1,0,0,0.0,0,85,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2021.0,0.0,0,0,0,0,5806,0.0,0,0,0,1.0,0.0
0,0,0.0,1477,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,109,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2016.2913443752745,0.0,0,0,0,0,8251,0.0,0,0,0,0.0,0.0
0,0,0.0,5597,0,0,0,0,0,6222,0,0.709872834064136,0,0,0,0,0.0,0,89,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2017.290127165936,0.0,0,0,0,0,2796,0.0,0,0,0,0.0,0.29012716593586396
0,0,0.0,6406,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,93,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2018.71051707113,0.0,0,0,0,0,5574,0.0,0,0,0,0.0,0.0
0,0,0.0,1449,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,109,0,0,0.0,0.0,0,0.6273253615815433,0,0.0,0,0,2019.6273253615816,0.0,0,0,0,0,2849,0.3726746384184567,1,0,0,0.0,0.0
0,0,0.0,5474,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,106,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2017.5559504910125,0.0,0,0,0,0,3766,0.0,0,0,0,0.0,0.0
0,0,0.0,5741,0,0,0,0,1,9337,0,0.0,0,0,0,0,0.0,0,118,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2018.0,0.0,0,0,0,0,3544,0.0,0,0,0,0.0,0.0
0,0,0.0,3119,0,0,0,0,0,7694,0,0.0,0,0,0,0,0.0,0,103,0,0,0.0,0.0,0,1.0,0,0.0,0,0,2011.0,0.0,1,0,0,0,3680,0.0,0,0,0,0.0,0.0
0,0,0.0,9056,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,92,0,0,0.0,0.0,0,1.0,0,0.0,0,1,2009.7629683430278,0.0,0,0,0,0,1123,0.0,0,0,0,0.0,0.0
0,0,0.0,8576,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,93,0,0,0.0,0.0,0,0.5294969326482134,0,0.4705030673517866,0,0,2002.4100613470357,0.0,0,0,0,0,9724,0.0,0,0,0,0.0,0.0
