help,rating_R,cast,little,finds,time,high,high,family,father,country,young,rating_TV-G,love,love,woman,rating_NR,duration,life,life,rating_TV-MA,teen,rating_PG,old,series,rating_TV-Y,release_year,rating_TV-14,new,school,movie,type,director,rating_TV-PG,friends,girl,girl,rating_TV-Y7,rating_PG-13
0,0.0,8687,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,94,0,0,0.0,0,0.0,0,0,0.0,2010.0,0.0,0,0,0,0,3991,0.0,0,0,0,0.0,1.0
0,1.0,3211,0,1,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,129,0,0,0.0,0,0.0,0,0,0.0,2003.0,0.0,0,0,0,0,9876,0.0,0,0,0,0.0,0.0
0,0.0,2255,0,0,0,0,0,0,0,6044,0,0.0,0,0,0,0.0,119,0,0,0.0,0,0.0,0,0,0.0,2005.6369049495424,0.0,0,0,0,0,9070,0.0,0,0,0,0.0,1.0
0,0.0,1139,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,109,0,0,0.13509965967873705,0,0.0,0,0,0.0,2016.4052989790362,0.0,0,0,0,0,4556,0.0,0,0,0,0.0,0.864900340321263
0,0.9393077545320843,9686,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,95,0,0,0.0,0,0.0,0,0,0.0,1997.8496914365508,0.0,0,0,0,0,7124,0.0,0,0,0,0.0,0.06069224546791574
0,0.0,2439,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,100,0,0,0.0,0,0.0,0,0,0.0,2015.2056258265598,0.0,0,0,0,0,8175,0.0,0,0,0,0.0,1.0
0,0.0,1659,0,0,0,0,0,0,0,4096,0,0.0,0,0,0,0.0,117,0,0,0.0,0,0.0,0,0,0.0,2009.0,0.0,0,0,0,0,3259,0.0,0,0,0,0.0,1.0
0,0.0,5508,0,0,0,0,1,0,0,7694,0,0.0,0,0,0,0.0,95,0,0,0.0,0,0.0,0,0,0.0,2012.0,0.0,0,0,0,0,2085,0.0,0,0,0,0.0,1.0
0,0.0,8989,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,150,0,1,0.0,0,0.0,0,0,0.0,2018.0,0.0,0,0,0,0,8183,0.0,0,0,0,0.0,1.0
0,0.0,4216,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,84,0,0,0.0,0,0.0,0,0,0.0,2006.1743970202417,0.32339981376510385,0,0,0,0,8243,0.0,0,0,0,0.0,0.0
0,0.0,7429,0,0,0,0,0,0,0,5288,0,0.0,0,0,0,0.0,116,0,0,0.5415510787360204,0,0.4584489212639796,0,0,0.0,2011.166204314944,0.0,0,0,0,0,3943,0.0,0,0,0,0.0,0.0
0,0.0,7051,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,106,0,0,0.0,0,0.0,0,0,0.0,2018.0,0.0,0,0,0,0,4008,1.0,0,0,0,0.0,0.0
0,0.0,5191,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,103,0,0,0.0,0,0.0,0,0,0.0,2008.6331388674007,0.0,0,0,0,0,1976,0.0,0,0,0,0.0,1.0
0,0.0,3418,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,106,0,0,0.7997206558143967,0,0.0,0,0,0.0,2016.997206558144,0.0,0,0,0,0,5481,0.0,0,0,0,0.0,0.20027934418560334
