girls,help,rating_R,cast,man,man,high,high,family,country,young,love,love,rating_NR,woman,rating_G,duration,black,life,life,rating_TV-MA,teen,rating_PG,old,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,school,movie,type,group,director,friends,girl,girl,rating_TV-Y7,rating_PG-13
0,0,0.0,1105,0,0,0,0,0,4059,0,0,0,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2013.9196836564158,0.0,0,0,0,1,0,2819,0,0,0,0.0,0.0
0,0,0.0,9395,0,0,0,0,0,6692,0,0,0,0.0,0,0.0,1,0,0,0,1.0,1,0.0,0,0,0.0,0,0,2019.0,0.0,0,0,0,1,0,2580,0,0,1,0.0,0.0
0,0,0.0,6228,0,0,0,0,0,4073,0,0,0,0.0,0,0.0,2,0,0,0,0.14581579125731814,0,0.0,0,0,0.0,0,0,2015.0207105388013,0.0,0,0,0,1,0,9367,0,0,0,0.0,0.0
0,0,0.0,5166,0,0,0,0,0,3654,0,0,0,0.0,0,0.0,1,0,0,0,0.8188424328979528,0,0.0,0,0,0.0,0,0,2010.6304181039184,0.18115756710204722,0,0,0,1,0,3569,0,0,0,0.0,0.0
0,0,0.0,9667,0,0,0,0,0,7642,0,0,0,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2007.9090234350392,1.0,0,0,0,1,0,5122,0,0,0,0.0,0.0
0,0,0.0,4050,0,0,0,0,0,9337,0,0,0,0.0,0,0.0,4,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2013.825906979844,0.0,0,0,0,1,0,1712,0,0,0,0.0,0.0
0,0,0.0,4416,0,0,0,0,0,1799,0,0,0,0.0,0,0.0,1,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2017.399560979011,0.0,0,0,0,1,0,6500,0,0,0,0.0,0.0
0,0,0.0,1503,0,0,0,0,0,9337,0,0,0,0.0,0,0.0,5,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2013.7948559803735,0.0,0,0,0,1,0,4593,0,0,0,0.0,0.0
0,0,0.0,8025,0,0,0,0,0,5146,0,0,0,0.0,0,0.0,1,0,0,1,0.5989034317424821,0,0.0,0,0,0.0,0,0,2018.39561372697,0.0,0,0,0,1,0,5642,0,0,0,0.0,0.0
0,0,0.0,5829,0,0,0,0,1,9337,0,0,0,0.0,0,0.0,3,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2001.2986572587376,0.0,0,0,0,1,0,7627,0,0,0,0.0,0.0
0,0,0.0,9297,0,0,0,0,0,5146,0,0,0,0.0,0,0.0,1,0,0,0,0.0,0,0.0,0,0,0.0,0,0,2019.0,1.0,0,0,0,1,0,5907,0,0,0,0.0,0.0
0,0,0.0,4304,0,0,0,0,0,6044,0,0,0,0.0,1,0.0,1,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2017.0406920754037,0.0,0,0,0,1,0,6517,0,0,0,0.0,0.0
0,0,0.0,2805,0,0,0,0,0,7643,0,0,0,0.0,0,0.0,1,0,0,0,0.4500415848016315,0,0.0,0,0,0.0,0,0,2015.5004158480162,0.5499584151983685,0,0,0,1,0,8979,0,0,0,0.0,0.0
0,0,0.0,7576,0,0,0,0,0,9337,0,0,0,0.0,0,0.0,3,0,0,0,1.0,0,0.0,0,0,0.0,0,0,2018.2742061322901,0.0,0,0,0,1,0,1176,0,0,0,0.0,0.0
