rating_R,cast,finds,man,man,time,house,high,high,family,father,country,young,love,love,woman,rating_TV-G,home,rating_G,duration,life,life,rating_TV-MA,teen,rating_PG,old,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,school,type,director,rating_TV-PG,friends,girl,girl,rating_TV-Y7,rating_PG-13
0.0,1681,0,0,0,0,0,0,0,0,0,5146,0,0,0,0,0.0,0,0.0,1,0,0,0.0,0,0.0,0,1,0.0,0,0,2019.0,1.0,0,0,1,5011,0.0,0,0,0,0.0,0.0
0.0,3077,0,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,3,0,0,0.0,0,0.0,0,0,0.0,0,0,2021.0,1.0,0,0,1,7264,0.0,0,0,0,0.0,0.0
0.0,2134,0,0,0,0,0,0,0,0,0,6044,0,0,0,0,0.0,0,0.0,9,0,0,0.0,0,0.0,0,0,0.0,0,0,2021.0,1.0,0,0,1,6705,0.0,0,0,0,0.0,0.0
0.0,7904,0,0,0,0,0,0,0,0,0,3944,0,0,0,0,0.0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.0,0,0,2010.0,0.0,0,0,1,4301,1.0,0,0,0,0.0,0.0
0.0,2879,0,0,0,0,0,0,0,0,0,4096,0,0,0,0,0.0,0,0.0,1,0,0,1.0,0,0.0,0,0,0.0,0,0,2018.0,0.0,0,0,1,6349,0.0,0,0,0,0.0,0.0
0.0,6851,0,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,3,0,0,1.0,0,0.0,0,1,0.0,0,0,2015.0,0.0,0,0,1,2977,0.0,0,0,0,0.0,0.0
0.0,5332,0,0,0,0,0,0,0,0,0,1325,0,0,0,0,0.0,0,0.0,1,0,0,1.0,0,0.0,0,1,0.0,0,0,2021.0,0.0,0,0,1,1277,0.0,0,0,0,0.0,0.0
0.0,8986,0,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,1,0,0,1.0,0,0.0,0,0,0.0,0,0,2016.0,0.0,0,0,1,8104,0.0,0,0,0,0.0,0.0
0.0,9248,0,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,1,0,0,1.0,0,0.0,0,0,0.0,0,0,2019.0,0.0,0,0,1,8137,0.0,0,0,0,0.0,0.0
0.0,8034,0,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,1,0,0,1.0,0,0.0,0,0,0.0,0,0,2019.0,0.0,0,0,1,4877,0.0,0,0,0,0.0,0.0
