girls,help,rating_R,cast,man,man,high,high,family,father,country,young,rating_TV-G,love,love,rating_NC-17,woman,home,american,rating_G,duration,life,life,rating_TV-Y7-FV,rating_TV-MA,teen,rating_PG,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,school,movie,type,director,rating_TV-PG,friends,girl,girl,boy,rating_TV-Y7,rating_PG-13
0,0,0.0,8151,0,0,0,0,0,0,9337,0,0.0,0,0,0.0,0,0,0,0.0,3,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2011.265613770344,1.0,0,0,0,1,4119,0.0,0,0,0,0,0.0,0.0
0,0,0.0,6346,0,0,0,0,0,0,9337,0,0.0,0,0,0.0,0,0,0,0.0,5,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2017.6388817567524,0.5277763513504874,0,0,0,1,3928,0.4722236486495126,0,0,0,0,0.0,0.0
0,0,0.0,6037,0,0,0,0,0,0,4329,0,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0.0,0.6319096710134477,0,0.0,0,0.0,0,0,2015.8957290130404,0.0,0,0,0,1,9460,0.0,0,0,0,0,0.36809032898655225,0.0
0,0,0.0,1324,0,0,0,0,0,0,9337,0,0.0,0,0,0.0,0,0,0,0.0,5,0,0,0.0,0.46377558163211574,0,0.0,0,0.0,0,0,2012.4928581428496,0.5362244183678843,0,0,0,1,3383,0.0,0,0,0,0,0.0,0.0
0,0,0.0,4396,0,0,0,0,0,0,3311,0,0.0,0,0,0.0,0,0,0,0.0,5,0,0,0.0,0.24722492640721105,0,0.0,0,0.0,0,0,2015.0,0.0,0,0,0,1,6932,0.752775073592789,0,0,0,0,0.0,0.0
0,0,0.0,7054,0,0,0,0,0,0,2418,0,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0.0,1.0,0,0.0,0,0.0,0,0,2015.252639742604,0.0,0,0,0,1,5784,0.0,0,0,0,0,0.0,0.0
0,0,0.0,7982,0,0,0,0,0,0,9337,0,0.9488220942497471,0,0,0.0,0,0,0,0.0,1,0,0,0.0,0.0,0,0.0,0,0.0,0,0,1997.8700243977544,0.0,0,0,0,1,8805,0.0,0,0,0,0,0.05117790575025294,0.0
0,0,0.0,7503,0,0,0,0,0,0,9337,0,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0.0,1.0,0,0.0,0,0.0,0,0,2019.7677491594402,0.0,0,0,0,1,8414,0.0,0,0,0,0,0.0,0.0
0,0,0.0,4190,0,0,0,1,0,0,9337,0,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0.0,1.0,0,0.0,0,0.0,0,0,2020.0,0.0,0,1,0,1,7744,0.0,0,0,0,0,0.0,0.0
0,0,0.0,9571,0,0,0,0,0,0,9337,0,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0.0,0.6519962312401505,0,0.0,0,0.0,0,0,2020.6519962312402,0.0,0,0,0,1,5242,0.3480037687598495,0,0,0,0,0.0,0.0
0,0,0.0,4418,0,0,0,0,0,0,9337,0,0.0,0,0,0.0,0,0,0,0.0,7,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2010.6033997986842,1.0,0,0,0,1,6360,0.0,0,0,0,0,0.0,0.0
0,0,0.0,6511,0,0,0,0,0,0,3543,0,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0.0,0.19952023597049817,0,0.0,0,0.0,0,0,2018.4014392920885,0.8004797640295018,0,0,0,1,7597,0.0,0,0,0,0,0.0,0.0
0,0,0.0,4605,0,0,0,0,0,0,6044,0,0.0,0,0,0.0,0,0,0,0.0,3,0,0,0.0,1.0,0,0.0,0,0.0,0,0,2017.1687764461503,0.0,0,0,0,1,6434,0.0,0,0,0,0,0.0,0.0
0,0,0.0,2564,0,0,0,0,0,0,7976,0,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0.0,0.08399307730391425,0,0.0,0,0.9160069226960857,0,0,2015.968332289412,0.0,0,0,0,1,7085,0.0,0,0,0,0,0.0,0.0
0,0,0.0,2848,0,0,0,0,0,0,9337,0,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0.0,1.0,0,0.0,0,0.0,0,0,2016.7412943333172,0.0,1,0,0,1,2850,0.0,0,0,0,0,0.0,0.0
0,0,0.0,5120,0,0,0,0,0,0,5261,0,0.0,0,0,0.0,0,0,0,0.0,2,0,0,0.0,0.8144797660690005,0,0.0,0,0.0,0,0,2021.0,0.18552023393099948,0,0,0,1,3920,0.0,0,0,0,0,0.0,0.0
0,0,0.0,7462,0,0,0,0,0,0,9337,0,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0.0,1.0,0,0.0,0,0.0,0,0,2015.9639870509193,0.0,1,0,0,1,2088,0.0,0,0,0,0,0.0,0.0
0,0,0.0,7204,0,0,0,0,0,0,9337,0,0.0,0,0,0.0,0,0,0,0.0,2,0,0,0.0,0.17131238474345478,0,0.0,0,0.0,0,0,2020.0,0.8286876152565452,0,0,0,1,5334,0.0,0,0,0,0,0.0,0.0
0,0,0.0,4033,0,0,0,0,0,0,1325,0,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0.0,0.13876248899002674,0,0.0,0,0.8612375110099733,0,0,2019.0,0.0,0,0,0,1,2058,0.0,0,0,0,0,0.0,0.0
0,0,0.0,2277,0,0,0,0,0,0,6044,0,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0.0,1.0,0,0.0,0,0.0,0,0,1986.152141311464,0.0,0,0,0,1,7522,0.0,0,0,0,0,0.0,0.0
0,0,0.0,1745,0,0,0,0,0,0,9337,0,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0.0,0.9345574976749461,0,0.0,0,0.0,0,0,2018.13088500465,0.0,0,0,0,1,9438,0.0,0,0,0,0,0.06544250232505389,0.0
0,0,0.0,5168,0,0,0,0,0,0,4013,0,0.0,0,0,0.0,0,0,0,0.0,2,0,0,0.0,1.0,0,0.0,0,0.0,0,0,2018.0881523080036,0.0,0,0,0,1,8197,0.0,0,0,0,0,0.0,0.0
0,0,0.0,6238,0,0,0,0,0,0,9337,0,0.0,0,0,0.0,0,0,0,0.0,1,0,0,0.0,1.0,0,0.0,0,0.0,0,0,2017.572404911352,0.0,0,0,0,1,4232,0.0,0,0,0,0,0.0,0.0
