help,rating_R,cast,man,man,finds,house,time,high,high,father,country,young,love,love,woman,rating_TV-G,story,rating_NR,home,rating_G,duration,life,life,rating_TV-MA,teen,rating_PG,series,world,world,release_year,rating_TV-14,day,school,movie,type,director,rating_TV-PG,christmas,friends,girl,girl,boy,rating_PG-13
0,0.4356383883661402,8482,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,0,0.0,95,0,0,0.5643616116338598,0,0.0,0,0,0,2005.1090402908465,0.0,0,0,0,0,6389,0.0,0,0,0,0,0,0.0
0,0.4983818337215674,5508,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,0,0.0,98,0,0,0.5016181662784326,0,0.0,0,0,0,2004.533981491847,0.0,0,0,0,0,6447,0.0,0,0,0,0,0,0.0
0,0.0,4249,0,0,0,0,0,0,0,0,1325,0,0,0,0,0.0,0,0.0,0,0.0,146,0,0,0.0,0,0.0,0,0,0,2005.5328611740465,0.6332152935116366,0,0,0,0,9527,0.36678470648836337,0,0,0,0,0,0.0
0,0.0,8933,0,0,0,0,0,0,0,0,1325,0,0,0,0,0.0,0,0.0,0,0.0,144,0,0,0.0,0,0.0,0,0,0,2004.9506111647202,1.0,0,0,0,0,4670,0.0,0,0,0,0,0,0.0
0,0.0,8535,0,0,0,0,0,0,0,0,1325,0,0,0,0,0.0,0,0.0,0,0.0,140,0,0,0.0,0,0.0,0,0,0,2010.9580777942335,1.0,0,0,0,0,6200,0.0,0,0,0,0,0,0.0
0,0.796696821486899,1678,0,0,0,0,0,0,0,0,9368,0,0,0,0,0.0,0,0.0,0,0.0,127,0,0,0.0,0,0.0,0,0,0,2011.5603618578427,0.0,0,0,0,0,8450,0.0,0,0,0,0,0,0.20330317851310098
0,0.0,4495,0,0,0,0,0,0,0,0,3955,0,0,0,0,0.792804500850439,0,0.0,0,0.0,89,0,0,0.0,0,0.0,0,0,0,2019.7928045008505,0.0,0,0,0,0,5335,0.20719549914956104,0,0,0,0,0,0.0
0,0.0,8937,0,0,0,0,0,0,0,0,1325,0,0,0,0,0.0,0,0.0,0,0.0,122,0,0,0.5885279361208526,0,0.0,0,0,0,2015.531167616725,0.41147206387914737,0,0,0,0,8410,0.0,0,0,0,0,0,0.0
0,0.0,3463,0,0,0,0,0,0,0,0,5333,0,0,0,0,0.0,0,0.0,0,0.0,126,0,0,0.0,0,0.0,0,0,0,2014.3176593874805,0.5852925765649275,0,0,0,0,9702,0.4147074234350725,0,0,0,0,0,0.0
0,0.0,8229,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,0,0.0,133,0,0,1.0,0,0.0,0,0,0,2018.664678073186,0.0,0,0,0,0,4483,0.0,0,0,0,0,0,0.0
0,0.416717932632925,1824,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,0,0.0,68,0,0,0.583282067367075,0,0.0,0,0,1,2008.6656413473415,0.0,0,0,0,0,3821,0.0,0,0,0,0,0,0.0
0,0.0,5304,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,0,0.0,42,0,0,1.0,0,0.0,0,0,0,2019.0,0.0,0,0,0,0,1538,0.0,0,0,0,0,0,0.0
0,0.0,5915,0,0,0,0,0,0,0,0,1325,0,0,0,0,0.0,0,0.0,0,0.0,175,0,0,0.0,0,0.0,0,0,0,2010.609612867881,0.5365376226270235,0,0,0,0,4302,0.46346237737297646,0,0,0,1,0,0.0
0,0.0,9178,0,1,0,0,0,0,0,0,6762,0,0,0,0,0.0,0,0.0,0,0.0,127,0,0,0.0,0,0.0,0,0,0,2010.0,1.0,0,0,0,0,5180,0.0,0,0,0,0,0,0.0
0,0.0,4827,0,0,0,0,0,0,0,0,1325,0,0,0,0,0.0,0,0.0,0,0.0,128,0,0,0.0,0,0.0,0,0,0,2016.4324390287227,1.0,0,0,0,0,3392,0.0,0,0,0,0,0,0.0
