girls,help,rating_R,cast,little,man,man,high,high,country,young,rating_TV-G,love,love,woman,american,rating_G,king,duration,life,life,rating_TV-Y7-FV,rating_TV-MA,teen,rating_PG,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,movie,type,group,director,rating_TV-PG,christmas,girl,girl,rating_TV-Y7,rating_PG-13
0,0,0.0,4853,0,0,0,0,0,1325,0,0.0,0,0,0,0,0.0,0,90,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2005.0,0.0,0,0,0,0,5075,1.0,0,0,0,0.0,0.0
0,0,0.0,1678,0,0,0,0,0,1325,0,0.0,0,0,0,0,0.0,0,110,0,1,0.0,0.0,1,1.0,0,0.0,0,0,2021.0,0.0,0,0,0,0,3779,0.0,0,1,0,0.0,0.0
0,0,0.0,3851,0,0,0,0,0,3278,0,0.0,0,0,0,0,0.0,0,93,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2017.0,0.0,0,0,0,0,7833,0.0,0,0,1,0.0,1.0
0,0,0.0,8122,0,0,0,0,0,9337,1,1.0,0,0,0,0,0.0,0,103,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2020.0,0.0,0,0,0,0,2418,0.0,0,0,0,0.0,0.0
0,0,0.0,7804,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,94,0,1,0.0,0.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,4702,1.0,0,0,0,0.0,0.0
0,0,0.0,3966,0,0,0,0,0,9337,0,0.8391977051130464,0,0,0,0,0.0,0,98,0,0,0.0,0.0,0,0.0,0,0.16080229488695363,0,0,2017.0,0.0,0,0,0,0,3254,0.0,0,0,0,0.0,0.0
0,0,0.0,7234,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.23148325165839678,0,124,0,0,0.0,0.0,0,0.7685167483416032,0,0.0,0,0,2000.5277512251241,0.0,0,0,0,0,7181,0.0,0,0,0,0.0,0.0
0,0,0.0,5725,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,102,0,0,0.0,0.0,0,0.15502345644708537,0,0.0,0,0,2017.139718522635,0.0,0,0,0,0,8844,0.8449765435529146,0,0,0,0.0,0.0
0,0,0.0,1684,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,92,0,0,0.0,0.0,0,0.02831220663922729,0,0.0,0,0,2015.9433755867215,0.0,0,0,0,0,5257,0.9716877933607727,0,0,0,0.0,0.0
0,0,0.0,1508,0,0,0,0,1,9337,0,0.0,0,0,0,0,0.0,0,90,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2018.0,0.0,0,0,0,0,9656,1.0,0,0,0,0.0,0.0
0,1,0.0,8173,0,0,0,0,0,3543,1,0.0,0,0,0,1,0.0,0,94,0,0,0.0,0.0,0,0.0,0,1.0,0,0,2012.0,0.0,0,0,0,0,6485,0.0,0,1,0,0.0,0.0
0,0,0.0,7984,0,0,0,0,0,9337,0,0.0,0,0,0,0,0.0,0,111,0,0,0.0,0.0,0,0.5910294348325251,0,0.4089705651674749,0,0,2012.6358822606699,0.0,0,0,0,0,4406,0.0,0,0,0,0.0,0.0
0,0,0.0,1968,0,0,0,0,0,6044,0,0.0,0,0,0,0,0.419615379668294,0,114,0,0,0.0,0.0,0,0.580384620331706,0,0.0,0,0,1997.0192310165853,0.0,0,0,0,0,1850,0.0,0,0,0,0.0,0.0
0,0,0.0,2619,0,0,0,0,0,5288,0,0.0,0,0,0,0,0.0,0,106,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2016.7510780952143,1.0,0,0,0,0,1148,0.0,0,0,0,0.0,0.0
0,0,0.0,7611,0,0,0,0,0,4034,0,1.0,0,0,0,0,0.0,0,82,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,5129,0.0,0,0,0,0.0,0.0
0,0,0.0,9544,0,0,0,0,0,9337,0,0.0,0,1,0,0,0.0,0,90,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2019.0,0.0,1,0,0,0,7454,1.0,0,0,0,0.0,0.0
0,0,0.0,6057,0,0,0,0,0,4096,0,0.0,0,0,0,0,0.0,0,103,0,0,0.0,0.0,0,0.01937943537229536,0,0.0,0,0,2019.9806205646278,0.0,0,0,0,0,8897,0.9806205646277046,0,0,0,0.0,0.0
0,0,0.0,7604,0,0,0,0,0,4096,0,0.0,0,0,0,0,0.0,0,103,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,7517,1.0,0,0,0,0.0,0.0
0,0,0.0,4090,0,0,0,0,0,1325,0,0.0,0,0,0,0,0.0,0,93,0,0,0.0,0.0,0,0.0,0,0.0,0,0,2017.0,0.0,0,0,0,0,7833,0.0,0,0,1,0.0,1.0
