rating_R,cast,finds,man,man,time,house,high,high,family,father,country,young,love,love,woman,rating_TV-G,home,rating_G,duration,life,life,rating_TV-MA,teen,rating_PG,old,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,school,type,director,rating_TV-PG,friends,girl,girl,rating_TV-Y7,rating_PG-13
0.0,6092,0,0,0,0,0,0,0,0,0,7694,0,0,0,0,0.0,0,0.0,1,0,0,0.28767678907370775,0,0.0,0,0,0.0,0,0,2019.2876767890737,0.7123232109262922,0,0,1,7761,0.0,0,0,0,0.0,0.0
0.0,9467,0,0,0,0,0,0,0,0,0,7694,0,0,0,0,0.0,0,0.0,1,0,0,1.0,0,0.0,0,0,0.0,0,0,2020.0,0.0,0,0,1,3692,0.0,0,0,0,0.0,0.0
0.0,1634,0,0,0,0,1,0,0,0,0,4096,0,0,0,0,0.0,1,0.0,2,0,0,0.0,0,0.0,0,0,0.0,0,0,2016.0,1.0,1,0,1,8202,0.0,0,0,0,0.0,0.0
0.0,3642,0,0,0,0,0,0,0,0,0,9337,0,0,1,0,0.0,0,0.0,1,0,0,0.0,0,0.0,0,0,0.0,0,0,2019.0032185207913,1.0,0,0,1,1644,0.0,0,0,0,0.0,0.0
0.0,7170,0,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,1,0,0,1.0,0,0.0,0,0,0.0,0,0,2017.982655014333,0.0,0,0,1,4165,0.0,1,0,0,0.0,0.0
0.0,6238,0,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,2,0,0,0.5384595479371654,0,0.0,0,0,0.0,0,1,1978.230912548524,0.0,0,0,1,3640,0.46154045206283456,0,0,0,0.0,0.0
0.0,7643,0,0,0,0,0,0,0,0,0,7694,0,0,0,0,0.0,0,0.0,1,0,0,1.0,0,0.0,0,0,0.0,0,0,2020.0,0.0,0,0,1,5245,0.0,0,0,0,0.0,0.0
0.0,7547,0,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,3,0,0,0.0,0,0.0,0,0,0.0,0,0,2014.7846712235757,1.0,1,0,1,8845,0.0,0,0,0,0.0,0.0
0.0,3708,0,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,2,0,0,0.0,0,0.0,0,0,0.0,0,0,2014.0,0.9174980964820548,0,0,1,8791,0.08250190351794517,0,0,0,0.0,0.0
0.047404328053438416,7476,0,0,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,1,0,0,0.9525956719465616,0,0.0,0,0,0.0,0,0,2018.8103826877862,0.0,0,0,1,4362,0.0,0,0,0,0.0,0.0
