help,rating_R,cast,finds,man,man,high,high,family,father,country,young,love,love,woman,story,home,rating_G,king,duration,black,life,life,rating_TV-MA,rating_PG,series,world,world,release_year,rating_TV-14,new,school,movie,type,group,director,rating_TV-PG,christmas,friends,girl,girl,rating_TV-Y7,rating_PG-13
0,0.0,4162,0,0,0,0,0,0,0,9337,0,0,0,0,0,0,0.0,0,71,0,0,0,1.0,0.0,0,0,0,2016.0,0.0,0,0,0,0,0,6604,0.0,0,0,0,0,0.0,0.0
0,1.0,9247,1,0,0,0,0,0,0,9337,0,0,0,0,0,0,0.0,0,104,0,0,0,0.0,0.0,0,0,0,2017.0,0.0,0,0,0,0,0,9068,0.0,0,0,0,0,0.0,0.0
0,0.0,3072,0,0,1,0,0,0,0,9337,0,0,0,0,0,0,0.0,0,95,0,0,0,0.0,1.0,0,0,0,2001.0,0.0,0,0,0,0,0,2267,0.0,0,0,0,0,0.0,0.0
0,0.0,1385,0,0,0,0,0,0,0,9337,0,0,0,0,0,0,0.0,0,85,0,0,0,0.0,0.0,0,0,0,1988.0,0.0,0,0,0,0,0,9791,0.0,0,0,0,0,0.0,1.0
0,0.0,1223,0,0,0,0,0,0,0,9337,0,0,0,0,0,0,0.0,0,137,0,0,0,1.0,0.0,0,0,0,2017.0,0.0,0,0,0,0,0,8730,0.0,0,0,0,1,0.0,0.0
0,0.0,1235,0,0,0,0,0,0,0,9337,0,0,0,0,0,0,0.0,0,136,0,0,0,0.0,1.0,0,0,0,1976.0,0.0,0,0,0,0,0,8359,0.0,0,0,0,0,0.0,0.0
0,0.0,2435,0,0,0,0,0,0,0,9337,0,0,0,0,0,0,0.0,0,101,0,0,0,0.0,1.0,0,0,0,2005.0,0.0,0,0,0,0,0,8597,0.0,0,0,0,0,0.0,0.0
0,0.0,1183,0,0,0,0,0,0,0,7694,0,0,0,0,0,0,0.0,0,103,0,0,0,1.0,0.0,0,0,0,2016.0,0.0,0,0,0,0,0,2266,0.0,0,0,0,0,0.0,0.0
0,0.0,3749,0,0,0,0,0,0,0,9337,0,0,0,0,0,0,0.0,0,116,0,0,0,0.0,1.0,0,0,0,1999.0,0.0,0,0,0,0,0,1854,0.0,0,0,0,0,0.0,0.0
0,0.0,2234,0,0,0,0,0,0,0,9337,0,0,0,0,0,0,0.0,0,106,0,0,0,0.0,0.0,0,0,0,1996.0,0.0,0,0,0,0,0,7634,0.0,0,0,0,0,0.0,1.0
0,0.0,6994,0,0,0,0,0,0,0,9337,0,0,0,0,0,0,0.0,0,113,0,0,0,0.0,1.0,0,0,0,2014.0,0.0,0,0,0,0,0,7909,0.0,0,0,0,0,0.0,0.0
0,0.0,3620,0,0,0,0,0,0,0,9337,0,0,0,0,0,0,0.0,0,77,0,0,0,0.0,0.0,0,0,0,1998.0,0.0,0,0,0,0,0,6105,1.0,0,0,0,0,0.0,0.0
