help,rating_R,cast,man,man,finds,high,high,family,father,country,young,love,love,woman,home,duration,life,life,rating_TV-Y7-FV,rating_TV-MA,teen,good,rating_PG,old,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,movie,type,group,director,rating_TV-PG,christmas,friends,rating_TV-Y7,rating_PG-13
0,0.0,5825,0,0,0,0,0,0,0,9337,0,0,0,0,0,6,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,2015.0,1.0,0,0,1,0,9080,0.0,0,0,0.0,0.0
0,0.0,7625,0,0,0,0,0,0,0,9337,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,1999.0,0.0,0,0,1,0,8779,0.0,0,0,1.0,0.0
0,0.0,7873,0,0,0,0,0,0,0,9337,0,0,0,0,0,3,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,1,2021.0,0.0,0,0,1,0,4811,1.0,0,0,0.0,0.0
0,0.0,5425,0,0,0,0,0,0,0,9337,0,0,0,0,0,4,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,2017.0,0.0,0,0,1,0,2379,0.0,0,0,1.0,0.0
0,0.0,2223,0,0,0,0,0,0,0,9337,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,2016.0,0.0,0,0,1,0,9587,0.0,0,0,1.0,0.0
0,0.0,4016,0,0,0,0,0,0,0,9337,0,0,0,0,0,2,0,1,0.0,0.0,0,0,0.0,0,0,0.0,0,0,2020.0,0.0,0,0,1,0,5227,0.0,0,0,1.0,0.0
0,0.0,9273,0,0,0,0,0,0,0,6044,0,0,0,0,0,9,0,0,0.0,1.0,0,0,0.0,0,0,0.0,0,0,2020.0,0.0,0,0,1,0,9344,0.0,0,0,0.0,0.0
0,0.0,9363,0,0,0,0,0,0,0,9337,0,0,0,0,0,12,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,2017.0,1.0,0,0,1,1,9179,0.0,0,0,0.0,0.0
0,0.0,9744,0,0,0,0,0,0,0,9337,0,0,0,0,0,10,0,0,0.0,1.0,0,0,0.0,0,0,0.0,0,0,2019.0,0.0,0,0,1,0,3620,0.0,0,0,0.0,0.0
0,0.0,3600,0,0,0,0,0,0,0,9337,0,0,0,0,0,7,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,1999.0,1.0,0,0,1,0,6612,0.0,0,0,0.0,0.0
0,0.0,4377,0,0,0,0,0,0,0,3543,0,0,0,0,0,2,0,0,1.0,0.0,0,0,0.0,0,0,0.0,0,1,2014.0,0.0,0,0,1,0,3789,0.0,0,0,0.0,0.0
0,0.0,5329,0,0,0,0,0,0,0,9337,0,0,0,0,0,3,0,0,0.0,1.0,0,0,0.0,0,0,0.0,0,0,2019.0,0.0,1,0,1,0,8189,0.0,0,0,0.0,0.0
0,0.0,2937,0,0,0,0,0,0,0,9337,0,0,0,0,0,6,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,2012.0,1.0,0,0,1,1,6444,0.0,0,0,0.0,0.0
0,0.0,5426,0,0,0,0,0,0,0,3543,0,0,0,0,0,5,0,0,0.0,0.0,0,1,0.0,0,0,0.0,0,0,2019.0,0.0,0,0,1,0,3300,1.0,0,0,0.0,0.0
0,0.0,6523,0,0,0,0,0,0,0,9337,0,0,0,0,0,3,0,1,0.0,0.0,0,0,0.0,0,0,0.0,0,0,2019.0,0.0,0,0,1,0,8502,0.0,0,0,1.0,0.0
0,0.0,7063,0,0,0,0,0,0,0,6044,0,0,0,0,0,4,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,2017.0,1.0,0,0,1,0,4722,0.0,0,0,0.0,0.0
0,0.0,8957,0,0,0,0,0,0,0,9337,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,2020.0,0.0,0,0,1,0,4714,0.0,0,0,1.0,0.0
0,0.0,7787,0,0,0,0,0,0,0,6044,0,0,0,0,0,4,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,2018.0,0.0,0,0,1,0,3465,1.0,0,0,0.0,0.0
0,0.0,9604,0,0,0,0,0,0,0,9337,0,0,0,0,0,1,0,0,0.0,1.0,0,0,0.0,0,0,0.0,0,0,2021.0,0.0,0,0,1,0,2391,0.0,0,0,0.0,0.0
0,0.0,9788,0,0,0,0,0,0,0,9337,0,0,0,0,0,7,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,2015.0,0.0,0,0,1,0,6835,1.0,0,0,0.0,0.0
0,0.0,1617,0,0,0,0,0,0,0,9337,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,2020.0,1.0,0,0,1,0,5682,0.0,0,0,0.0,0.0
0,0.0,8041,0,0,0,0,0,0,0,9337,0,0,0,0,0,2,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,2019.0,0.0,0,0,1,0,9743,1.0,0,0,0.0,0.0
0,0.0,8888,0,0,0,0,0,0,0,6044,1,0,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,2015.0,1.0,0,0,1,0,2556,0.0,0,0,0.0,0.0
0,0.0,5751,0,0,0,0,0,0,0,6044,0,0,0,0,0,9,0,0,0.0,1.0,0,0,0.0,0,0,0.0,0,0,2020.0,0.0,0,0,1,0,9344,0.0,0,0,0.0,0.0
0,0.0,5854,0,0,0,0,0,0,0,9337,0,0,0,0,0,10,0,0,0.0,1.0,0,0,0.0,0,0,0.0,0,0,2019.0,0.0,0,0,1,0,8194,0.0,0,0,0.0,0.0
0,0.0,7615,0,0,0,0,0,0,0,9337,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0.0,0,0,0.0,0,0,2016.0,0.0,0,0,1,0,1629,0.0,0,0,1.0,0.0
