girls,rating_R,cast,man,man,high,high,family,country,young,love,love,woman,rating_TV-G,home,king,duration,life,life,rating_TV-MA,good,rating_PG,old,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,school,movie,type,group,director,rating_TV-PG,christmas,friends,girl,girl,rating_TV-Y7,rating_PG-13
0,0.0,2171,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,2,0,0,0.0,0,0.0,0,0,0.0,0,0,2016.6335083881856,0.0,0,0,0,1,0,2641,0.0,0,0,0,0,1.0,0.0
0,0.0,2035,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,1.0,0,0.0,0,0,0.0,0,0,2018.0,0.0,0,0,0,1,0,3773,0.0,0,0,0,0,0.0,0.0
0,0.0,3854,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,2,0,0,0.0912667694247723,0,0.0,0,0,0.0,0,0,2011.0039344636725,0.0,0,1,0,1,0,4999,0.9087332305752277,0,0,0,0,0.0,0.0
0,0.0,8293,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,2,0,0,0.7037160793550481,0,0.0,0,0,0.0,0,0,2016.4445929522606,0.0,0,0,0,1,0,2490,0.2962839206449519,0,0,0,0,0.0,0.0
0,0.0,2050,0,0,0,0,0,9337,0,0,0,0,0.0,0,0,1,0,0,0.9227229609555734,0,0.0,0,0,0.0,0,1,2018.9227229609555,0.0,0,0,0,1,0,2785,0.07727703904442662,0,0,0,0,0.0,0.0
0,0.0,6892,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,0.0,0,0.0,0,0,0.0,0,0,2008.9894634588145,1.0,0,0,0,1,0,9125,0.0,0,0,0,0,0.0,0.0
0,0.0,9912,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,0.0,0,0.0,0,0,0.0,0,0,2007.7077501190588,1.0,0,0,0,1,0,6796,0.0,0,0,0,0,0.0,0.0
0,0.0,3360,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,0.6196445925111973,0,0.0,0,0,0.0,0,0,2019.1410662224664,0.3803554074888027,0,0,0,1,0,5236,0.0,0,0,0,0,0.0,0.0
0,0.0,2570,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,0.0,0,0.0,0,0,0.0,0,0,2013.2001196394506,1.0,0,0,0,1,0,5993,0.0,0,0,0,0,0.0,0.0
0,0.0,9370,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,0.8842825346375788,0,0.0,0,0,0.0,0,0,2012.1157174653624,0.11571746536242122,0,0,0,1,0,5835,0.0,0,0,0,0,0.0,0.0
0,0.0,2461,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,5,0,0,0.04678846621029753,0,0.0,0,0,0.0,0,0,1987.4972309187294,0.9532115337897025,0,0,0,1,0,1443,0.0,0,0,0,0,0.0,0.0
0,0.0,3750,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,1.0,0,0.0,0,0,0.0,0,0,2019.5510761221408,0.0,0,0,0,1,0,7792,0.0,0,0,0,0,0.0,0.0
0,0.0,5216,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,2,0,0,0.7616870007016279,0,0.0,0,0,0.0,0,0,2013.6168700070164,0.0,0,0,0,1,0,1769,0.23831299929837213,0,0,0,0,0.0,0.0
0,0.0,7433,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,2,0,0,1.0,0,0.0,0,0,0.0,0,0,2020.0,0.0,0,0,0,1,1,5010,0.0,0,0,0,0,0.0,0.0
0,0.0,6742,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,0.23483447148422343,0,0.0,0,0,0.0,0,0,2015.8258276425788,0.0,0,0,0,1,0,5789,0.0,0,0,0,0,0.7651655285157766,0.0
0,0.0,9004,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,0.0,0,0.0,0,0,0.0,0,0,2016.7759543629286,0.4080152123571015,0,0,0,1,0,7760,0.0,0,0,0,0,0.5919847876428985,0.0
0,0.0,4573,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,2,0,0,1.0,0,0.0,0,0,0.0,0,0,2016.0,0.0,0,0,0,1,0,3877,0.0,0,0,0,0,0.0,0.0
0,0.0,8500,0,0,1,1,0,4096,0,0,0,0,0.0,0,0,1,0,0,1.0,0,0.0,0,0,0.0,0,1,2021.0,0.0,0,0,0,1,0,1868,0.0,0,0,0,0,0.0,0.0
0,0.0,2172,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,0.7456862306773117,0,0.0,0,0,0.0,0,0,2014.7456862306774,0.25431376932268834,0,0,0,1,0,3199,0.0,0,0,0,0,0.0,0.0
0,0.0,4399,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,0.0,0,0.0,0,0,0.0,0,0,2014.5054642279415,1.0,0,0,0,1,0,5297,0.0,0,0,0,0,0.0,0.0
0,0.0,3933,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,2,0,0,0.0,0,0.0,0,0,0.0,0,0,2007.7010095529631,0.0,0,0,0,1,0,6824,0.6715727932804523,0,0,0,0,0.3284272067195477,0.0
0,0.0,5193,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,2,0,0,1.0,0,0.0,0,0,0.0,0,0,2017.7319997539942,0.0,0,0,0,1,0,5010,0.0,0,0,0,0,0.0,0.0
0,0.0,1287,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,0.7163662916853136,0,0.0,0,0,0.0,0,0,2020.7163662916853,0.2836337083146864,0,0,0,1,0,2439,0.0,0,0,0,0,0.0,0.0
0,0.0,4141,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,2,0,0,0.5767601681434182,0,0.0,0,0,0.0,0,0,2013.7676016814341,0.42323983185658176,0,0,0,1,0,4540,0.0,0,0,0,0,0.0,0.0
0,0.0,5234,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,0.19963585646365045,0,0.0,0,0,0.0,0,0,2020.401092430609,0.8003641435363495,0,0,0,1,0,6313,0.0,0,0,0,0,0.0,0.0
0,0.0,9333,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,0.0,0,0.0,0,0,0.0,0,0,2015.1606309646725,0.2839369035327505,0,0,0,1,0,1333,0.7160630964672495,0,0,0,0,0.0,0.0
0,0.0,2887,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,0.0,0,0.0,0,0,0.0,0,0,2008.8718560016573,0.9031271109269567,0,0,0,1,0,6426,0.09687288907304326,0,0,0,0,0.0,0.0
0,0.0,6715,0,0,0,0,0,9337,0,0,0,0,0.0,0,0,1,0,0,0.9105616009107595,0,0.0,0,0,0.0,0,0,2014.642246403643,0.08943839908924045,0,0,0,1,0,1551,0.0,0,0,0,0,0.0,0.0
0,0.0,1647,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,0.0,0,0.0,0,0,0.0,0,0,2015.7626973481094,1.0,0,0,0,1,0,3165,0.0,0,0,0,0,0.0,0.0
0,0.0,6066,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,0.05023728680615802,0,0.0,0,0,0.0,0,0,2020.0502372868061,0.949762713193842,0,0,0,1,0,7294,0.0,0,0,0,0,0.0,0.0
0,0.0,9858,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,2,0,0,0.0,0,0.0,0,0,0.0,0,0,2001.0398619734108,1.0,0,0,0,1,0,6527,0.0,0,0,0,0,0.0,0.0
0,0.0,3713,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,2,0,0,0.0,0,0.0,0,0,0.0,0,0,2018.0004908192518,0.333496939750628,0,0,0,1,0,8993,0.0,0,0,0,0,0.666503060249372,0.0
0,0.0,9611,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,2,0,0,0.9398447315879471,0,0.0,0,0,0.0,0,0,2019.6992236579397,0.060155268412052876,0,0,0,1,0,2496,0.0,0,0,0,0,0.0,0.0
0,0.0,2062,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,1.0,0,0.0,0,0,0.0,0,0,2001.0682970852683,0.0,0,0,0,1,0,6245,0.0,0,0,0,0,0.0,0.0
0,0.0,7431,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,1,0,0,0.0,0,0.0,0,0,0.0,0,0,2012.644720582481,0.6427138013476,0,0,0,1,0,8836,0.35728619865239997,0,0,0,0,0.0,0.0
0,0.0,7762,0,0,0,0,0,4096,0,0,0,0,0.0,0,0,2,0,0,1.0,0,0.0,0,0,0.0,0,0,2015.2726598132797,0.0,0,0,0,1,0,7934,0.0,0,0,0,0,0.0,0.0
