help,rating_R,cast,finds,man,man,high,high,family,father,country,young,love,love,woman,rating_NR,story,rating_G,duration,life,life,rating_TV-MA,teen,rating_PG,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,school,movie,type,group,director,rating_TV-PG,christmas,friends,girl,girl,city,rating_PG-13
0,0.0,9684,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,91,0,0,0.0,0,0.0,0,0.0,0,0,1987.0,0.0,0,0,0,0,0,1483,0.0,0,0,0,0,0,1.0
0,0.0,8868,0,0,0,0,0,0,0,4096,0,0,0,0,0.0,0,0.0,102,0,0,0.0,0,0.0,0,0.0,0,0,2011.0,1.0,0,0,1,0,0,9869,0.0,0,0,0,0,0,0.0
0,0.0,1287,0,0,0,0,0,0,0,4096,0,0,0,0,0.0,0,0.0,92,0,0,1.0,0,0.0,0,0.0,0,0,2012.0,0.0,0,0,0,0,0,2441,0.0,0,0,0,0,0,0.0
0,0.0,7849,0,0,0,0,1,0,0,4096,0,0,0,0,0.0,0,0.0,110,0,0,0.0,0,0.0,0,0.0,0,0,2011.0,0.0,0,1,1,0,0,1875,1.0,0,0,0,0,0,0.0
0,0.0,5247,0,0,0,0,0,0,0,4096,0,0,0,0,0.0,0,0.0,100,0,0,0.0,0,0.0,0,0.0,0,1,2001.0,0.0,0,0,1,0,0,7608,1.0,0,0,0,0,0,0.0
0,0.0,1737,0,0,0,0,0,0,0,4096,0,0,0,0,0.0,0,0.0,99,0,0,0.0,0,0.0,0,0.0,0,0,2003.0,1.0,0,0,1,0,0,7608,0.0,0,0,0,0,0,0.0
0,0.0,5362,0,0,0,0,0,0,0,3325,0,0,0,0,0.0,0,0.0,107,0,0,0.0,0,0.0,0,0.0,0,0,2017.0,0.0,0,0,0,0,0,7162,1.0,0,0,0,0,0,0.0
0,0.0,7944,0,0,0,0,0,0,0,4096,0,0,0,0,0.0,0,0.0,101,0,0,0.0,0,0.0,0,0.0,0,0,2018.0,1.0,0,0,0,0,0,1558,0.0,0,0,0,0,1,0.0
0,0.0,9429,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,68,0,0,0.0,0,0.0,0,0.0,0,0,2016.0,0.0,0,0,0,0,0,6565,1.0,0,0,0,0,0,0.0
0,0.0,6330,0,0,1,0,0,0,0,4096,0,0,0,0,0.0,0,0.0,58,0,0,1.0,0,0.0,0,0.0,0,0,2014.0,0.0,0,0,0,0,1,5297,0.0,0,0,0,0,0,0.0
0,0.0,5742,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,114,0,0,0.0,0,0.0,0,0.0,0,0,2008.0,0.0,0,0,0,0,0,2592,0.0,0,0,0,0,0,1.0
0,0.0,1514,0,0,0,0,0,0,0,4096,0,0,0,0,0.0,0,0.0,102,0,0,0.0,0,0.0,0,0.0,0,0,2011.0,1.0,0,0,1,0,0,9869,0.0,0,0,0,0,0,0.0
0,0.0,7451,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,96,0,0,0.0,0,0.0,0,0.0,0,0,1987.0,0.0,0,0,0,0,0,4668,1.0,0,0,0,0,0,0.0
0,0.0,5277,0,0,0,0,0,0,1,4096,0,0,0,0,0.0,1,0.0,103,0,0,0.0,0,0.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,0,7517,1.0,0,0,0,0,0,0.0
0,0.0,1347,0,0,0,0,0,0,0,4096,0,0,0,0,0.0,0,0.0,100,0,0,0.0,0,0.0,0,0.0,0,0,1979.0,0.0,0,0,0,0,0,7784,0.0,0,0,0,0,0,1.0
0,0.0,6199,0,0,0,0,0,0,0,4466,0,0,0,0,0.0,0,0.0,139,0,0,0.0,0,0.0,0,0.0,0,0,1981.0,1.0,0,0,0,0,0,7606,0.0,0,0,0,0,0,0.0
0,0.0,1287,0,0,0,0,0,0,0,4096,0,0,0,0,0.0,0,0.0,101,0,0,0.0,0,0.0,0,0.0,0,0,2018.0,1.0,0,0,0,0,0,6293,0.0,0,0,0,0,1,0.0
0,0.0,5072,0,0,0,0,0,0,0,4096,0,0,0,0,0.0,0,0.0,99,0,1,0.0,0,0.0,0,0.0,0,0,2002.0,1.0,1,0,1,0,0,7608,0.0,0,1,0,0,0,0.0
0,0.0,5385,0,0,0,0,0,0,0,4096,0,0,1,0,0.0,0,0.0,107,0,1,0.0,0,0.0,0,0.0,0,1,2019.0,1.0,0,0,0,0,0,9839,0.0,0,0,0,0,0,0.0
0,0.0,5254,0,0,0,0,0,0,0,4096,0,0,0,0,0.0,0,0.0,96,0,0,0.0,0,0.0,0,0.0,0,0,2009.0,0.0,0,0,1,0,0,9869,1.0,0,0,0,0,0,0.0
0,0.0,5382,0,0,0,0,0,0,0,4096,0,0,1,0,0.0,0,0.0,107,0,1,0.0,0,0.0,0,0.0,0,1,2019.0,1.0,0,0,0,0,0,9839,0.0,0,0,0,0,0,0.0
0,0.0,8014,0,0,0,0,0,0,0,9337,0,0,0,0,0.0,0,0.0,94,0,0,0.0,0,0.0,0,0.0,0,0,2018.0,1.0,0,0,0,0,0,2792,0.0,0,0,0,0,0,0.0
0,0.0,2316,0,0,0,0,0,0,0,4466,0,0,0,0,0.0,0,0.0,139,0,0,0.0,0,0.0,0,0.0,0,0,1981.0,1.0,0,0,0,0,0,4044,0.0,0,0,0,0,0,0.0
0,0.0,2887,0,0,0,0,0,0,0,4096,0,0,0,0,0.0,0,0.0,94,0,0,0.0,0,0.0,0,0.0,0,0,2008.0,0.0,0,0,1,0,0,1375,1.0,0,0,0,0,0,0.0
