girls,rating_R,cast,man,man,house,high,high,family,father,country,young,rating_TV-G,love,love,woman,rating_NC-17,rating_NR,rating_G,king,duration,life,life,rating_TV-Y7-FV,rating_TV-MA,teen,rating_PG,old,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,movie,type,group,director,friends,girl,girl,rating_TV-Y7,rating_PG-13
0,0.0,8326,0,0,0,0,0,0,0,1818,0,0.0,0,0,0,0.0,0.0,0.0,0,88,0,0,0.0,0.4946268619241402,0,0.0,0,0,0.0,0,0,2016.0107462761516,0.5053731380758598,0,0,0,0,1246,0,0,0,0.0,0.0
0,0.0,8951,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,0.0,0.0,0,93,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,2017.5069419715921,0.0,0,0,0,0,3411,0,0,0,0.24652901420388407,0.7534709857961159
0,0.0,4342,0,0,0,0,0,1,0,1325,0,1.0,0,0,0,0.0,0.0,0.0,0,176,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0,1999.0,0.0,0,0,0,0,5012,0,0,0,0.0,0.0
0,0.0,5236,0,0,0,0,0,0,0,4466,0,0.0,0,0,0,0.0,0.0,0.0,0,115,0,0,0.0,0.0,0,0.0,0,1,0.0,0,0,2009.0,1.0,0,0,0,0,6275,0,0,0,0.0,0.0
0,0.0,4708,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,0.0,0.0,0,102,0,0,0.0,1.0,0,0.0,0,0,0.0,0,0,2019.0042184612469,0.0,0,0,0,0,4294,0,0,0,0.0,0.0
0,0.0,5789,0,0,0,0,0,0,0,6296,0,0.0,0,1,0,0.0,0.0,0.0,0,107,0,1,0.0,1.0,0,0.0,0,0,0.0,0,0,2021.0,0.0,0,0,0,0,8572,0,0,0,0.0,0.0
0,0.0,4176,0,0,0,0,0,0,0,3543,0,0.0,0,0,0,0.0,0.0,0.0,0,87,0,0,0.0,1.0,0,0.0,0,0,0.0,0,0,2019.0,0.0,0,0,0,0,5285,0,0,0,0.0,0.0
0,0.0,3524,0,0,0,0,1,0,0,7694,0,0.0,0,0,0,0.0,0.0,0.0,0,128,0,0,0.0,1.0,0,0.0,0,0,0.0,0,0,2020.0,0.0,0,0,0,0,3192,0,0,0,0.0,0.0
0,0.0,7545,0,1,0,0,1,0,0,4096,0,0.0,0,0,0,0.0,0.0,0.0,0,148,0,0,0.0,1.0,0,0.0,0,0,0.0,0,0,2018.0,0.0,0,0,0,0,7160,0,0,0,0.0,0.0
0,0.0,4476,0,0,0,0,0,0,0,3543,0,0.0,0,0,0,0.0,0.0,0.0,0,106,0,0,0.0,1.0,0,0.0,0,0,0.0,1,0,2019.0,0.0,0,0,0,0,1746,0,0,0,0.0,0.0
0,0.0,7745,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,0.0,0.0,0,78,0,0,0.0,1.0,0,0.0,0,0,0.0,0,0,2018.0,0.0,0,0,0,0,7833,0,0,0,0.0,0.0
0,0.0,7335,0,0,0,0,0,0,0,2644,0,0.0,0,0,0,0.0,0.0,0.0,0,99,0,0,0.0,0.6627891275461938,0,0.0,0,0,0.0,0,0,2017.6627891275461,0.3372108724538062,0,0,0,0,9690,0,0,0,0.0,0.0
