help,rating_R,cast,man,man,little,house,time,high,high,family,country,young,rating_TV-G,woman,story,american,rating_G,king,duration,black,life,life,rating_TV-Y7-FV,rating_TV-MA,teen,good,rating_PG,old,series,world,world,release_year,rating_TV-14,new,day,movie,type,group,director,christmas,friends,girl,girl,rating_NC-17,rating_PG-13
0,0.0,4812,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,0,42,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,1947.0,0.0,0,0,0,0,0,7353,0,0,0,0,0.0,0.0
0,0.0,2584,0,0,0,0,0,0,0,0,1325,0,0.0,0,0,0,0.0,0,150,0,0,0,0.0,1.0,0,0,0.0,0,0,0,0,2017.0,0.0,0,0,0,0,0,1960,0,0,0,0,0.0,0.0
0,0.0,4755,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,0,108,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,1958.0,0.0,0,0,0,0,0,4082,0,0,0,0,0.0,0.0
0,0.0,5778,0,0,0,0,0,0,0,0,6044,0,0.0,0,0,0,0.0,0,126,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,2013.0,0.0,0,0,0,0,0,1109,0,0,0,0,0.0,1.0
0,0.0,2370,0,0,0,0,0,0,0,0,3543,0,0.0,0,0,0,0.0,0,47,0,0,0,0.0,0.0,0,0,0.0,1,0,0,0,2016.0,0.0,0,0,0,0,0,9018,0,0,0,0,0.0,0.0
0,0.0,6197,1,0,0,0,0,0,0,0,3278,0,0.0,0,0,0,0.0,0,127,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,2013.0,0.0,0,0,0,0,0,5770,0,0,0,0,0.0,0.0
0,0.0,8634,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,0,90,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,2016.0,0.0,0,0,0,0,0,4461,0,0,0,0,0.0,0.0
0,0.0,1570,0,0,0,0,0,0,1,0,9337,0,0.0,0,0,0,0.0,0,88,0,0,0,0.0,0.0,1,0,1.0,0,0,0,0,2016.0,0.0,0,0,0,0,0,6921,0,0,0,0,0.0,0.0
0,1.0,6981,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,0,101,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,2008.0,0.0,0,0,0,0,0,2900,0,0,0,0,0.0,0.0
0,0.0,3596,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,0,105,0,0,0,0.0,1.0,0,0,0.0,0,0,0,0,2015.0,0.0,0,0,0,0,0,7189,0,0,0,0,0.0,0.0
0,1.0,1056,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,0,104,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,2017.0,0.0,0,0,0,0,0,9068,0,0,0,0,0.0,0.0
0,0.0,6510,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,0,54,0,0,0,0.0,1.0,0,0,0.0,0,0,0,1,2017.0,0.0,1,1,0,0,0,3924,0,0,0,0,0.0,0.0
0,0.0,3004,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,0,95,0,0,0,0.0,1.0,0,0,0.0,0,0,0,0,2019.0,0.0,0,0,0,0,0,6244,0,0,0,0,0.0,0.0
0,0.0,9091,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0.0,0,83,0,0,0,0.0,1.0,0,0,0.0,0,0,0,0,2018.0,0.0,0,0,0,0,0,2429,0,0,0,0,0.0,0.0
