rating_R,cast,finds,man,man,time,high,high,family,father,country,young,rating_TV-G,love,love,woman,story,home,duration,life,life,rating_TV-MA,teen,rating_PG,old,rating_UR,series,world,world,release_year,rating_TV-14,new,school,type,group,director,rating_TV-PG,friends,girl,girl,rating_TV-Y7,rating_PG-13
0.0,1113,0,0,0,0,0,0,0,0,9337,0,0.0,1,0,0,0,0,2,0,0,1.0,0,0.0,0,0.0,0,0,0,2021.0,0.0,0,0,1,0,9037,0.0,0,0,0,0.0,0.0
0.0,8809,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,1,0,0,1.0,0,0.0,0,0.0,0,0,0,2020.0,0.0,0,0,1,0,3038,0.0,0,0,0,0.0,0.0
0.0,2250,0,0,0,0,0,0,0,0,6044,0,0.0,0,0,0,0,0,1,0,0,0.0,0,0.0,0,0.0,0,0,0,2020.0,1.0,0,0,1,0,9590,0.0,0,0,0,0.0,0.0
0.0,6787,0,0,0,0,0,0,0,0,7969,0,0.0,0,0,0,0,0,3,0,0,1.0,0,0.0,0,0.0,0,0,0,2019.0,0.0,0,0,1,0,2265,0.0,0,0,0,0.0,0.0
0.0,5987,0,0,0,0,0,0,0,0,6044,0,1.0,0,0,0,0,0,1,0,0,0.0,0,0.0,0,0.0,0,0,0,2015.0,0.0,0,0,1,0,6338,0.0,0,0,0,0.0,0.0
0.0,9888,0,0,0,0,0,0,0,0,6044,0,0.0,0,0,0,0,0,1,0,0,0.0,0,0.0,0,0.0,0,0,0,2015.0,0.0,0,0,1,0,4254,0.0,0,0,0,0.0,0.0
0.0,6844,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,1,0,0,1.0,0,0.0,0,0.0,0,0,0,2016.0,0.0,0,0,1,0,5163,0.0,0,0,0,0.0,0.0
0.0,8322,0,0,0,0,0,0,0,0,6044,0,0.0,0,0,0,0,0,3,0,0,1.0,0,0.0,0,0.0,0,0,0,2019.0,0.0,0,0,1,0,1036,0.0,0,0,0,0.0,0.0
0.0,5300,0,0,0,0,0,0,0,0,6044,0,0.0,0,0,0,0,0,4,0,0,1.0,0,0.0,0,0.0,0,0,0,2020.0,0.0,0,0,1,0,4851,0.0,0,0,0,0.0,0.0
0.0,3511,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,2,0,0,0.0,0,0.0,0,0.0,1,0,0,2021.0,0.0,0,0,1,0,6134,0.0,0,0,0,0.0,0.0
0.0,3396,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,3,0,0,1.0,0,0.0,0,0.0,0,0,0,2019.0,0.0,0,0,1,0,9371,0.0,0,0,0,0.0,0.0
0.0,2771,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,1,0,0,1.0,0,0.0,0,0.0,0,0,0,2020.0,0.0,0,0,1,0,2489,0.0,0,0,0,0.0,0.0
