rating_R,cast,finds,man,man,time,high,high,family,father,country,young,rating_TV-G,love,love,woman,story,home,duration,life,life,rating_TV-MA,teen,rating_PG,old,rating_UR,series,world,world,release_year,rating_TV-14,new,school,type,group,director,rating_TV-PG,friends,girl,girl,rating_TV-Y7,rating_PG-13
0.0,7436,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,1,0,0,1.0,0,0.0,0,0.0,0,0,0,2018.550755143623,0.0,0,0,1,0,2127,0.0,0,0,0,0.0,0.0
0.0,5264,0,0,0,0,0,0,0,0,7853,0,0.0,0,0,0,0,0,1,0,0,0.0,0,0.0,0,0.0,0,0,0,2016.420046275131,0.0,0,0,1,0,6135,1.0,0,0,0,0.0,0.0
0.0,1445,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,4,0,0,0.0,0,0.0,0,0.0,0,0,0,2016.1808726679199,0.18087266791979328,0,0,1,0,3352,0.8191273320802067,0,0,0,0.0,0.0
0.0,1482,0,0,0,0,0,0,0,0,7969,0,0.0,0,0,0,0,0,1,0,0,0.0,0,0.0,0,0.0,0,0,0,2018.0,1.0,0,0,1,0,6826,0.0,0,0,0,0.0,0.0
0.0,2249,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,1,0,0,0.19091104974030892,0,0.0,0,0.0,0,0,0,2019.8090889502596,0.8090889502596911,0,0,1,0,2530,0.0,0,0,0,0.0,0.0
0.0,7633,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,1,0,0,0.11363423006358075,0,0.0,0,0.0,0,0,0,2019.227268460127,0.8863657699364192,0,0,1,0,2397,0.0,0,0,0,0.0,0.0
0.0,5161,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,4,0,0,0.0,0,0.0,0,0.0,1,0,0,2021.0,1.0,0,0,1,0,9717,0.0,0,0,0,0.0,0.0
0.0,8987,0,0,0,0,0,0,0,0,6044,0,0.6435668858860308,0,0,0,0,0,1,0,0,0.0,0,0.0,0,0.0,0,0,0,2016.069299342342,0.0,0,0,1,0,9449,0.35643311411396916,0,0,0,0.0,0.0
0.0,8644,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,1,0,0,0.0,0,0.0,0,0.0,0,0,1,2020.0,0.0,0,0,1,0,3688,1.0,0,0,0,0.0,0.0
0.0,5869,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,2,0,0,1.0,0,0.0,0,0.0,0,0,0,2019.0,0.0,0,0,1,0,1791,0.0,0,0,0,0.0,0.0
0.0,3290,0,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,1,0,0,0.0,0,0.0,0,0.0,0,0,0,2020.0,1.0,0,0,1,0,8463,0.0,0,0,0,0.0,0.0
