girls,help,rating_R,cast,little,man,man,time,father,country,young,love,love,woman,rating_TV-G,rating_NR,home,rating_G,duration,black,life,life,rating_TV-MA,teen,good,rating_PG,old,series,rating_TV-Y,world,world,release_year,rating_TV-14,new,school,type,director,rating_TV-PG,christmas,rating_TV-Y7,rating_PG-13
0,0,0.0,4355,0,0,0,0,0,9337,0,0,0,0,0.0,0.0,0,0.0,103,0,0,0,0.4747571234023491,0,0,0.0,0,0,0.0,0,0,2010.1718426042305,0.0,0,0,0,2396,0.0,0,0.0,0.5252428765976509
0,0,0.7484154016865513,9314,0,0,0,0,0,9337,0,0,0,0,0.0,0.0,0,0.0,91,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2005.9619696404773,0.0,0,0,0,4591,0.0,0,0.0,0.2515845983134487
0,0,0.892980988121682,3508,0,0,0,0,0,9337,0,0,0,0,0.0,0.0,0,0.0,95,0,0,0,0.10701901187831797,0,0,0.0,0,0,0.0,0,0,2000.9631711069048,0.0,0,0,0,1509,0.0,0,0.0,0.0
0,0,0.0,7783,0,0,0,0,0,3943,0,0,0,0,0.0,0.0,0,0.0,79,0,0,0,1.0,0,0,0.0,0,0,0.0,0,0,2019.1840400914987,0.0,0,0,0,8537,0.0,0,0.0,0.0
0,0,0.7916435286353826,1117,0,0,0,0,0,9337,0,0,0,0,0.0,0.0,0,0.0,102,0,0,0,0.20835647136461743,0,0,0.0,0,0,0.0,0,0,2008.8334258854584,0.0,0,0,0,1106,0.0,0,0.0,0.0
0,0,0.0,3778,0,0,0,0,0,9337,0,0,0,0,0.0,0.0,0,0.0,92,0,0,0,0.0788143840640756,0,0,0.0,0,0,0.0,0,0,2018.7635568478079,0.0,0,0,0,9896,0.0,0,0.0,0.9211856159359244
0,0,0.0,3920,0,0,0,0,0,3654,0,0,1,0,0.0,0.0,0,0.0,115,0,0,0,1.0,0,0,0.0,0,0,0.0,0,0,2020.0,0.0,0,0,0,7860,0.0,0,0.0,0.0
0,0,0.0,6710,0,0,0,0,0,1723,0,0,0,0,0.0,0.0,0,0.0,111,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2010.0,0.0,1,0,0,1061,1.0,0,0.0,0.0
0,0,0.0,3701,0,0,0,0,0,1325,0,0,0,0,0.0,0.0,0,0.0,131,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2015.0,1.0,0,0,0,1073,0.0,0,0.0,0.0
0,0,0.0,6839,0,0,0,0,1,9337,0,0,0,0,0.0,0.0,0,0.0,110,0,0,0,0.0,0,0,1.0,1,0,0.0,0,0,1993.0,0.0,0,0,0,9787,0.0,0,0.0,0.0
0,0,0.628709371842982,6344,0,0,0,0,0,9337,0,0,0,0,0.0,0.0,0,0.0,105,0,0,0,0.37129062815701797,0,0,0.0,0,0,0.0,0,0,2018.0296749747438,0.0,0,0,0,4923,0.0,0,0.0,0.0
0,0,0.0,2402,0,0,0,0,0,9337,0,0,0,0,0.0,0.0,0,0.0,103,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2003.4308680760819,0.2994063831522693,0,0,0,9932,0.0,0,0.0,0.7005936168477307
0,0,0.0,5158,0,0,0,0,0,9337,1,0,0,0,0.0,0.0,0,0.0,77,0,0,0,1.0,0,0,0.0,0,0,0.0,0,0,2006.0,0.0,0,1,0,4646,0.0,0,0.0,0.0
0,0,0.0,8717,0,0,0,0,0,9337,0,0,0,0,0.0,0.0,0,0.0,97,0,0,0,0.5913318842730114,0,0,0.0,0,0,0.0,0,0,2013.773995652819,0.4086681157269886,0,0,0,5671,0.0,0,0.0,0.0
0,0,0.0,6884,0,0,0,0,0,3278,0,0,0,2,0.0,0.0,0,0.0,94,0,0,0,1.0,0,0,0.0,0,0,0.0,0,0,2019.0,0.0,0,0,0,6366,0.0,0,0.0,0.0
0,0,1.0,5162,0,0,0,0,0,5057,0,0,0,0,0.0,0.0,0,0.0,106,0,0,0,0.0,0,0,0.0,1,0,0.0,0,0,2018.0,0.0,0,0,0,6085,0.0,0,0.0,0.0
0,0,0.0,8361,0,0,0,0,0,1325,0,0,0,0,0.0,0.0,0,0.0,131,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2015.0,1.0,0,0,0,9176,0.0,0,0.0,0.0
0,0,0.0,6041,0,0,0,0,0,9337,0,0,0,0,0.0,0.0,0,0.0,132,0,0,0,0.0,1,0,0.0,0,0,0.0,0,0,2020.0,0.0,0,0,0,5390,0.0,0,0.0,1.0
0,0,0.33780464281207845,7915,0,0,0,0,0,9337,0,0,0,0,0.0,0.0,0,0.0,128,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2019.3243907143758,0.0,0,0,0,5563,0.0,0,0.0,0.6621953571879216
0,0,0.0,8153,0,0,0,0,0,1723,0,0,0,0,0.0,0.0,0,0.0,108,0,0,0,1.0,0,0,0.0,0,0,0.0,0,0,2019.0,0.0,0,0,0,4162,0.0,0,0.0,0.0
0,0,0.0,9496,0,0,0,0,0,9337,0,0,0,0,0.0,0.0,0,0.0,97,0,0,0,0.5691489738000988,0,0,0.0,0,0,0.0,0,0,2005.9680856332013,0.0,0,0,0,1044,0.0,0,0.0,0.43085102619990123
0,0,0.45415950975503105,9292,0,0,0,0,0,6044,0,0,0,0,0.0,0.0,0,0.0,98,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2002.9210551975941,0.545840490244969,0,0,0,4647,0.0,0,0.0,0.0
0,0,0.7060607041839153,2984,0,0,0,0,0,6582,0,0,0,0,0.0,0.0,0,0.0,153,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2010.8242428167357,0.2939392958160847,0,0,0,6732,0.0,0,0.0,0.0
0,0,0.0,3824,0,0,0,0,0,1325,0,0,0,0,0.0,0.0,0,0.0,157,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2005.9019234559205,1.0,0,0,0,5260,0.0,0,0.0,0.0
0,0,0.0,2212,0,0,0,0,0,1325,0,0,0,0,0.0,0.0,0,0.0,142,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1972.1697676031845,1.0,0,0,0,5162,0.0,0,0.0,0.0
0,0,0.0,8241,0,0,0,0,0,7969,0,0,0,0,0.0,0.0,0,0.0,104,0,0,0,1.0,0,0,0.0,1,0,0.0,0,0,1998.0,0.0,0,0,0,4093,0.0,0,0.0,0.0
0,0,0.0,2991,0,0,0,0,0,9337,0,0,0,0,0.0,0.0,0,0.0,111,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2007.9092242810934,0.2606149520728942,0,0,0,2354,0.0,0,0.0,0.7393850479271058
0,0,0.22721385524948323,6581,0,0,0,0,0,9337,0,0,0,1,0.0,0.0,0,0.0,101,0,0,0,0.7727861447505168,0,0,0.0,0,0,0.0,0,0,2016.5006475922557,0.0,0,0,0,6367,0.0,0,0.0,0.0
0,0,0.37219296984167916,8377,0,0,0,0,0,1457,0,0,0,0,0.0,0.0,0,0.0,129,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2014.2556140603167,0.6278070301583208,0,0,0,5564,0.0,0,0.0,0.0
0,0,0.3796140514795048,6762,0,0,0,0,0,9337,0,0,0,0,0.0,0.0,0,0.0,70,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2018.6203859485206,0.0,0,0,0,9580,0.0,0,0.6203859485204952,0.0
0,0,0.0,6238,0,0,0,0,0,9337,0,0,0,0,0.0,0.0,0,0.0,85,0,0,0,1.0,0,0,0.0,0,0,0.0,0,0,2016.1190400998432,0.0,0,0,0,4731,0.0,0,0.0,0.0
0,0,0.6446268795977115,4276,0,0,0,0,0,9337,0,0,0,0,0.0,0.0,0,0.3553731204022885,91,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1998.7850751839085,0.0,0,0,0,2019,0.0,0,0.0,0.0
0,0,0.0,6561,0,0,0,0,0,1723,0,0,0,0,0.0,0.0,0,0.0,111,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2011.5539632798332,0.0,1,0,0,1061,1.0,0,0.0,0.0
0,0,0.0,5350,0,0,0,0,0,9337,0,0,0,0,0.0,0.0,0,0.0,40,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1944.0,1.0,0,0,0,3580,0.0,0,0.0,0.0
0,0,0.0,7002,0,0,0,0,0,3278,0,0,0,0,0.0,0.0,0,0.0,108,0,0,0,1.0,0,0,0.0,0,0,0.0,0,0,2016.6973711196677,0.0,0,0,0,1054,0.0,0,0.0,0.0
0,0,0.0,8070,0,0,0,0,0,7969,0,0,0,0,0.0,0.0,0,0.0,104,0,0,0,1.0,0,0,0.0,1,0,0.0,0,0,1998.0,0.0,0,0,0,4093,0.0,0,0.0,0.0
0,0,0.0,7911,0,0,0,0,0,1784,0,0,0,0,0.0,0.0,0,0.0,102,0,0,0,1.0,0,0,0.0,0,0,0.0,0,0,2003.3429692591574,0.0,0,0,0,4272,0.0,0,0.0,0.0
0,0,0.0,7305,0,0,0,0,0,9337,0,0,0,0,0.0,0.0,0,0.0,125,0,0,0,0.24361943724194413,0,0,0.0,0,0,0.0,0,0,2018.7819028137903,0.0,0,0,0,5443,0.0,0,0.0,0.7563805627580559
0,0,0.0,8544,0,0,0,0,0,9337,0,0,0,0,0.0,0.0,0,0.0,85,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2012.0,1.0,0,0,0,5759,0.0,0,0.0,0.0
0,0,0.0,6278,0,0,0,0,0,9337,1,0,0,0,0.0,0.353275722797476,0,0.0,91,0,0,0,0.646724277202524,0,0,0.0,0,0,0.0,0,0,2016.9401728316075,0.0,0,0,0,7886,0.0,0,0.0,0.0
0,0,0.7276835513722747,1969,0,0,0,0,0,3543,0,0,0,0,0.0,0.0,0,0.0,84,0,0,0,0.2723164486277253,0,0,0.0,0,0,0.0,0,0,2015.2768355137227,0.0,0,0,0,3680,0.0,0,0.0,0.0
0,0,0.0,3522,0,0,0,0,0,9337,1,0,0,0,0.0,0.0,0,0.0,118,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,1993.0,0.0,1,0,0,7192,0.0,0,0.0,1.0
0,0,0.0,7216,0,0,0,0,0,9337,0,0,0,1,0.0,0.0,0,0.0,106,0,0,0,1.0,0,0,0.0,0,0,0.0,0,0,2015.0,0.0,0,0,0,5611,0.0,0,0.0,0.0
0,0,0.0,5285,0,0,0,0,0,7694,0,0,0,0,0.0,0.0,0,0.0,95,0,0,0,1.0,0,0,0.0,0,0,0.0,0,0,2018.0,0.0,0,0,0,4849,0.0,0,0.0,0.0
0,0,0.25872964363130846,1295,0,0,0,0,0,4096,0,0,1,0,0.0,0.0,0,0.0,112,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2005.3428664146365,0.0,0,0,0,3498,0.0,0,0.0,0.7412703563686915
0,0,1.0,5028,0,0,0,0,0,5661,0,0,0,0,0.0,0.0,0,0.0,145,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,2016.4487054413087,0.0,0,0,0,8248,0.0,0,0.0,0.0
0,0,0.0,3774,0,0,0,0,0,6044,0,0,0,0,0.0,0.0,0,0.0,90,0,0,0,1.0,0,0,0.0,0,0,0.0,0,0,2018.0,0.0,0,0,0,2724,0.0,0,0.0,0.0
0,0,0.0,3834,0,0,0,0,0,4096,0,0,1,1,0.0,0.0,0,0.0,143,0,0,0,1.0,0,0,0.0,0,0,0.0,0,0,2021.0,0.0,0,0,0,6502,0.0,0,0.0,0.0
