help,rating_R,cast,finds,man,man,high,high,family,father,country,young,rating_TV-G,love,love,woman,story,home,rating_G,king,duration,life,life,rating_TV-MA,rating_PG,rating_UR,series,rating_TV-Y,world,world,release_year,rating_TV-14,day,new,school,movie,type,group,director,rating_TV-PG,friends,girl,girl,rating_TV-Y7
0,0.0,4875,0,0,0,0,0,0,0,5288,0,1.0,0,0,0,0,0,0.0,0,52,0,0,0.0,0.0,0.0,0,0.0,0,0,2013.0,0.0,0,0,0,0,0,0,8114,0.0,0,0,0,0.0
0,1.0,5116,0,0,0,0,0,1,0,9337,0,0.0,0,0,0,0,0,0.0,0,89,0,0,0.0,0.0,0.0,0,0.0,0,1,1997.0,0.0,0,0,0,0,0,0,3799,0.0,0,0,0,0.0
0,1.0,8914,0,0,0,0,0,0,0,6044,0,0.0,0,0,1,0,0,0.0,0,120,0,1,0.0,0.0,0.0,0,0.0,0,0,2019.0,0.0,0,0,0,0,0,0,5129,0.0,0,0,0,0.0
0,0.0,7593,0,0,0,0,0,0,0,9337,1,0.0,0,0,0,0,0,0.0,0,111,0,0,0.0,1.0,0.0,0,0.0,0,0,2018.0,0.0,0,0,0,0,0,0,7909,0.0,0,0,0,0.0
0,0.0,4161,0,0,0,0,0,0,0,4466,0,0.0,0,0,0,0,0,0.0,0,105,0,0,1.0,0.0,0.0,0,0.0,0,0,2013.0,0.0,0,0,0,0,0,0,2232,0.0,0,0,0,0.0
0,0.0,3474,0,0,0,0,0,0,0,4655,0,0.0,0,0,0,0,0,0.4839027052391409,0,96,0,0,0.0,0.0,0.0,0,0.0,0,0,2013.128778358087,0.5160972947608591,0,0,0,0,0,0,2736,0.0,0,0,0,0.0
0,0.0,2321,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,85,0,0,1.0,0.0,0.0,0,0.0,0,0,2019.413882788675,0.0,0,0,0,0,0,0,8866,0.0,0,0,0,0.0
0,0.0,8450,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,105,0,0,0.04343890857041488,0.9565610914295851,0.0,0,0.0,0,0,2017.9565610914296,0.0,0,0,0,0,0,0,1995,0.0,0,0,0,0.0
0,0.0,5634,0,0,0,0,0,0,0,4034,0,0.0,0,0,0,0,0,0.0,0,125,0,0,0.0,0.8037371042476144,0.0,0,0.0,0,0,2018.1962628957524,0.0,0,0,0,0,0,0,1661,0.0,0,0,0,0.0
0,0.0,3732,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,105,0,0,1.0,0.0,0.0,0,0.0,0,0,2018.44679372024,0.0,0,0,0,0,0,0,6369,0.0,0,0,0,0.0
0,0.0,5512,0,0,0,0,0,0,0,1356,0,0.0,0,0,0,0,0,0.0,0,139,0,0,0.0,0.0,0.0,0,0.0,0,0,2005.0918583834155,1.0,0,0,0,0,0,0,5475,0.0,0,0,0,0.0
0,0.0,7852,0,0,0,0,0,0,0,1325,0,0.0,0,0,0,0,0,0.0,0,116,0,1,0.0,0.0,0.0,0,0.0,0,0,1990.0,1.0,0,0,0,0,0,0,1385,0.0,0,0,0,0.0
0,0.0,6705,0,0,0,0,0,0,0,4466,0,0.0,0,0,0,0,0,0.0,0,105,0,0,1.0,0.0,0.0,0,0.0,0,0,2013.0,0.0,0,0,0,0,0,0,2232,0.0,0,0,0,0.0
0,0.0,2676,0,0,1,0,0,2,0,9337,0,0.0,0,0,0,0,0,0.0,0,91,0,0,1.0,0.0,0.0,0,0.0,0,0,2016.0,0.0,0,0,0,0,0,0,6417,0.0,1,0,0,0.0
0,0.0,4842,0,0,0,0,0,0,0,9337,0,0.0,0,0,0,0,0,0.0,0,122,0,0,0.48436028307687073,0.0,0.0,0,0.0,0,0,1975.0928964184584,0.0,0,0,0,0,0,0,4544,0.5156397169231293,0,0,0,0.0
0,0.0,6867,0,0,0,0,0,0,0,9337,1,0.0,0,0,0,0,0,0.0,0,111,0,0,0.0,1.0,0.0,0,0.0,0,0,2018.0,0.0,0,0,0,0,0,0,7909,0.0,0,0,0,0.0
